avgprc,lavgprc,totqty,ltotqty,speed2,speed3,wave2,wave3,mon,tues,wed,thurs,t
.70028597,-.3562665,4080,8.3138523,15,20,7.5,9,1,0,0,0,1
1.0053359,.0053217416,3466,8.1507568,10,20,5,7.5,0,0,1,0,2
1.3939178,.33211833,2295,7.7384882,10,20,6,4,0,0,0,1,3
1.7754868,.57407463,1870,7.5336938,15,20,6,5,0,0,0,0,4
.82679868,-.19019406,6885,8.8371,10,20,3.5,3.5,1,0,0,0,5
.88978302,-.11677764,5605,8.6314144,15,15,4.5,3.5,0,1,0,0,6
.79197043,-.23323122,4959,8.5089598,10,20,4.5,3.5,0,0,1,0,7
.92647594,-.076367199,2185,7.6893711,10,20,4,4.5,0,0,0,1,8
.70010036,-.35653159,9320,9.1399183,10,15,4,4.5,0,0,0,0,9
1.4921837,.4002406,6793,8.8236475,20,20,12.5,3.5,1,0,0,0,10
1.577273,.45569742,1925,7.5626812,15,45,9,12.5,0,1,0,0,11
1.4657356,.38235721,2470,7.8119736,15,30,7.5,12.5,0,0,1,0,12
1.317098,.27543086,8817,9.0844374,10,25,4.5,9,0,0,0,1,13
1.2339164,.21019317,4665,8.4478436,10,20,4.5,7.5,0,0,0,0,14
.93092787,-.071573481,7240,8.8873768,10,25,6,4,1,0,0,0,15
.844248,-.16930899,3790,8.2401209,10,25,4,6,0,1,0,0,16
1.2743487,.24243525,2030,7.6157908,15,15,8,6,0,0,1,0,17
1.1686016,.15580785,2885,7.9672804,15,20,8,4,0,0,0,1,18
1.1197919,.11314283,1200,7.0900769,15,35,7.5,8,0,0,0,0,19
1.0882353,.084557354,170,5.1357985,20,20,5.5,5,1,0,0,0,20
1.25,.22314355,1100,7.0030656,15,30,5.5,4.5,0,1,0,0,21
.94133067,-.060460798,2480,7.8160138,10,25,3,5.5,0,0,1,0,22
.62240112,-.47417051,6115,8.7185001,10,20,3.5,5.5,0,0,0,1,23
.46904936,-.75704724,6785,8.8224697,10,20,5,3,0,0,0,0,24
.47787771,-.7384004,2780,7.9302063,15,35,5.5,6,1,0,0,0,25
.48595506,-.72163916,1780,7.4843688,15,20,4,6,0,1,0,0,26
.57738942,-.54923832,2110,7.6544433,15,25,3,5.5,0,0,1,0,27
.53890234,-.61822093,4705,8.4563808,10,15,2.5,4,0,0,0,1,28
.58534592,-.53555226,2650,7.8823147,10,15,2.5,3,0,0,0,0,29
.64893085,-.43242913,6845,8.831274,25,20,8,3,1,0,0,0,30
.37975082,-.96823996,1070,6.9754138,15,35,8,8,0,1,0,0,31
.70039809,-.3561064,785,6.6656837,12,35,6.5,8,0,0,1,0,32
1.4750363,.38868257,3445,8.1446791,12,25,6.5,8,0,0,0,1,33
1.4238763,.35338295,5905,8.6835546,10,18,6.5,6.5,0,0,0,0,34
1.3879867,.32785425,3460,8.149024,15,20,6.5,3.5,1,0,0,0,35
1.6081038,.47505569,1090,6.9939332,10,25,6.5,5,0,1,0,0,36
1.2451364,.21924506,4460,8.4029045,10,30,4.5,6.5,0,0,1,0,37
.97828668,-.021952519,6060,8.709465,15,15,4.5,6.5,0,0,0,1,38
.5660215,-.56912321,9655,9.175231,10,20,5,4.5,0,0,0,0,39
.42881024,-.84674078,7880,8.9720831,10,20,4.5,3,0,1,0,0,40
.29026738,-1.2369528,1995,7.5983992,10,25,5,4.5,0,0,1,0,41
.41454083,-.88058382,3080,8.0326853,12,15,5,4.5,0,0,0,1,42
.4508743,-.79656667,5525,8.6170387,12,18,4,5,0,0,0,0,43
.52522522,-.64392811,2220,7.7052627,5,20,4,4,1,0,0,0,44
.44649121,-.80633557,1520,7.3264656,10,10,5.5,3.5,0,1,0,0,45
.79944134,-.22384213,1875,7.5363641,15,15,6,4,0,0,1,0,46
1.2106237,.19113572,1425,7.2619271,15,25,8,5.5,0,0,0,1,47
1.2693383,.23849571,2480,7.8160138,15,25,8,6,0,0,0,0,48
1.1197828,.11313474,2975,7.9979992,15,20,6,4,1,0,0,0,49
1.0588627,.057195395,1710,7.4442487,10,30,4.5,6,0,1,0,0,50
.77114362,-.25988066,7140,8.8734684,10,15,4.5,6,0,0,1,0,51
.78257805,-.24516162,6860,8.8334627,5,20,4,4.5,0,0,0,1,52
.59951812,-.5116291,4773,8.4707308,5,20,3.5,4.5,0,0,0,0,53
.43788192,-.82580602,9600,9.1695185,10,15,5.5,3.5,1,0,0,0,54
.61923838,-.47926497,7240,8.8873768,10,30,3.5,5.5,0,1,0,0,55
.79068375,-.2348572,2860,7.9585767,10,15,5,5.5,0,0,1,0,56
.73187453,-.31214619,5975,8.6953392,20,15,6.5,3.5,0,0,0,1,57
.68843257,-.37333789,2070,7.635304,25,25,6.5,5,0,0,0,0,58
.62552619,-.46916208,4540,8.420682,15,20,3.5,6.5,1,0,0,0,59
.5584529,-.58258498,6070,8.7111139,15,20,4,4,0,1,0,0,60
.958,-.042907495,1250,7.130899,15,20,5,3.5,0,0,1,0,61
1.117257,.11087658,2805,7.9391589,10,15,5,4,0,0,0,1,62
.59692603,-.51596206,4510,8.414052,10,25,8,5,0,0,0,0,63
.92178988,-.081437975,1285,7.158514,5,18,3,8,1,0,0,0,64
.74784154,-.29056418,1830,7.5120711,5,20,7,3.5,0,1,0,0,65
.64106858,-.44461885,2480,7.8160138,15,10,7,3,0,0,1,0,66
.61352974,-.48852652,8665,9.0670471,10,25,4,7,0,0,0,1,67
.81341994,-.20650777,1870,7.5336938,10,20,5,7,0,0,0,0,68
1.1780703,.16387777,1140,7.0387836,25,35,8,6.5,1,0,0,0,69
1.1847616,.16954161,1050,6.9565454,10,35,6.5,8,0,1,0,0,70
.80809915,-.21307051,4270,8.3593693,10,35,4,8,0,0,1,0,71
.63899159,-.44786397,8590,9.0583544,10,15,4,6.5,0,0,0,1,72
.54896545,-.59971976,9460,9.1548281,10,15,4,4,0,0,0,0,73
.67635173,-.39104202,4032,8.3020182,10,20,4,4,1,0,0,0,74
.64714289,-.43518817,875,6.7742238,10,15,4,4,0,1,0,0,75
.5379647,-.61996233,10940,9.3001814,10,20,3,4,0,0,1,0,76
.69309598,-.36658677,3125,8.0471897,10,15,3,4,0,0,0,1,77
.669837,-.40072089,4470,8.4051437,10,15,3,3,0,0,0,0,78
.72050881,-.32779762,4520,8.4162674,15,15,3.5,3,1,0,0,0,79
.68620229,-.3765828,1610,7.3839893,15,25,4,3,0,1,0,0,80
.75810814,-.27692923,370,5.9135032,5,25,4,3.5,0,0,1,0,81
.72899234,-.31609204,7170,8.8776608,5,25,3,4,0,0,0,1,82
.78676265,-.23982866,5640,8.637639,10,10,4,4,0,0,0,0,83
.74923211,-.28870645,5860,8.6759052,10,15,4,4,0,1,0,0,84
.89168257,-.11464508,2950,7.9895606,10,15,3,4,0,0,1,0,85
.85866672,-.15237442,5850,8.6741972,10,15,5,4,0,0,0,1,86
.59439129,-.52021742,10780,9.2854481,10,15,5,3,0,0,0,0,87
.63154411,-.45958748,3060,8.0261698,10,18,3.5,3,1,0,0,0,88
.56944442,-.56309408,2520,7.8320141,10,15,3,3.5,0,1,0,0,89
.45174637,-.7946344,4390,8.387085,10,15,3,3.5,0,0,1,0,90
.40806195,-.89633626,6940,8.8450575,10,15,3,3,0,0,0,1,91
.31273392,-1.1624025,6600,8.7948246,10,15,3.5,3,0,0,0,0,92
.42940819,-.84534729,3450,8.1461296,15,15,4.5,3.5,1,0,0,0,93
.90772355,-.096815415,1230,7.1147695,12,25,4.5,4,0,1,0,0,94
1.2385712,.21395843,1250,7.130899,12,25,5,4.5,0,0,1,0,95
1.25,.22314355,3980,8.2890368,15,18,6,4.5,0,0,0,1,96
1.7257583,.54566658,3780,8.2374792,15,20,9,5,0,0,0,0,97
